,Instrument,Name,Year_Month,Series,Data Points,Beta(J203),Beta(J200),Beta(J250),Beta(J257),Beta(J258)
615,JA0R,All Africa 40 Index Rand,2019-Q1,All Africa Index Series,60,0.8061080674804855,0.7982861846976629,0.724758536075241,0.7573152938262315,0.2012480589314058
702,JA00,All Africa 40 Index,2019-Q2,All Africa Index Series,60,0.9748015889570324,0.8636618142436088,0.8877758997851412,0.6645771926090946,0.349159371997741
703,JA0R,All Africa 40 Index Rand,2019-Q2,All Africa Index Series,60,0.7704850361175515,0.7644436462458758,0.6887035906759262,0.7266744495688663,0.2009833786296182
791,JA00,All Africa 40 Index,2019-Q3,All Africa Index Series,60,0.9783398751566252,0.8625601488117804,0.8912009413792055,0.6643846086432196,0.3546179242831185
792,JA0R,All Africa 40 Index Rand,2019-Q3,All Africa Index Series,60,0.7748547903923162,0.7616091554807255,0.6779384170395244,0.7130838469765983,0.2104895470008651
879,JA00,All Africa 40 Index,2019-Q4,All Africa Index Series,60,0.7850326202895785,0.7739194763378757,0.7673188213160302,0.7735350714547802,0.1952906013610624
880,JA0R,All Africa 40 Index Rand,2019-Q4,All Africa Index Series,60,0.7851440104866895,0.7740365051006509,0.7675319021797725,0.7737035846840131,0.1951978395800384
32,J259,Dividend Plus,2017-Q3,Dividend Forecast Index Series,60,0.8097610945810318,0.627277350844053,0.7628540677631481,0.5629492971308443,0.3013630467497543
121,J259,Dividend Plus,2017-Q4,Dividend Forecast Index Series,60,0.7846286967190167,0.6070301083113993,0.7429214358574372,0.4952612038124878,0.3006688331140117
210,J259,Dividend Plus,2018-Q1,Dividend Forecast Index Series,60,0.8052837053664534,0.6243452665664994,0.7598342028617356,0.4984431645070968,0.3055758513913265
299,J259,Dividend Plus,2018-Q2,Dividend Forecast Index Series,60,0.8752187365375096,0.7044682625611554,0.7757953556203797,0.5292319000964351,0.3043902993328467
388,J259,Dividend Plus,2018-Q3,Dividend Forecast Index Series,60,0.8681271688496192,0.7065503986775871,0.7361955765126688,0.4905396005008262,0.3158652913423077
477,J259,Dividend Plus,2018-Q4,Dividend Forecast Index Series,60,0.8486178584785482,0.684489588620818,0.7250047301714652,0.4838296034939275,0.31031358825005
566,J259,Dividend Plus,2019-Q1,Dividend Forecast Index Series,60,0.8344018230994888,0.6676350077863076,0.7153321131093064,0.44208035050530703,0.3229185830030275
654,J259,Dividend Plus,2019-Q2,Dividend Forecast Index Series,60,0.8135064396751079,0.6565004423047841,0.7063352161512566,0.455092768560565,0.3171860149316453
743,J259,Dividend Plus,2019-Q3,Dividend Forecast Index Series,60,0.82738002746113,0.6686224725968533,0.7218544134978359,0.4641246695765739,0.3209740339735275
831,J259,Dividend Plus,2019-Q4,Dividend Forecast Index Series,60,0.8147515404599428,0.6652938748118621,0.7242207696410992,0.4573816727232566,0.3548270627165975
915,J259,Dividend Plus,2020-Q1,Dividend Forecast Index Series,60,0.9745161536241196,0.8392006480675416,0.919270061609106,0.5814629862901639,0.4518610007666326
988,J259,Dividend Plus,2020-Q2,Dividend Forecast Index Series,60,0.9498151847712872,0.8344373145467631,0.9175999638726312,0.6027424812966429,0.4760153714026665
41,J2EQ,Top 40 EQWI,2017-Q3,Equally Weighted Top 40,60,0.9701053062908851,0.8295307059393372,0.9163804187755691,0.7689295215372616,0.2844683343603903
130,J2EQ,Top 40 EQWI,2017-Q4,Equally Weighted Top 40,60,0.9309773662509012,0.7952230086062515,0.8893995268284319,0.7093335166210922,0.277081029167888
219,J2EQ,Top 40 EQWI,2018-Q1,Equally Weighted Top 40,60,0.9266995520460286,0.7976592817192999,0.8808330341235772,0.6993135066987692,0.2804268543024402
308,J2EQ,Top 40 EQWI,2018-Q2,Equally Weighted Top 40,60,0.9457671043449885,0.8247078095571077,0.8644123193743738,0.6919809720647735,0.2423756000158348
397,J2EQ,Top 40 EQWI,2018-Q3,Equally Weighted Top 40,60,0.9450713341629088,0.8261184094009891,0.8560470040758767,0.6698376154305079,0.2358132745202727
486,J2EQ,Top 40 EQWI,2018-Q4,Equally Weighted Top 40,60,0.8991843140457978,0.7840117080535732,0.8329815924414896,0.6480878106587729,0.2254186592843891
575,J2EQ,Top 40 EQWI,2019-Q1,Equally Weighted Top 40,60,0.8755492791182854,0.7600943143135427,0.8444640315968288,0.6215642600005501,0.2189305748318294
663,J2EQ,Top 40 EQWI,2019-Q2,Equally Weighted Top 40,60,0.8713888048039592,0.7598221257442358,0.8490948012438149,0.6352501123374874,0.2239416711328167
752,J2EQ,Top 40 EQWI,2019-Q3,Equally Weighted Top 40,60,0.8710868167475203,0.7593938568925959,0.8512323985250064,0.6320353485040913,0.2228442826150934
840,J2EQ,Top 40 EQWI,2019-Q4,Equally Weighted Top 40,60,0.8870378263941385,0.777070245679982,0.8733039460528141,0.6356686871324251,0.2631830478631537
25,J251,Preference Share,2017-Q3,FTSE/JSE Preference Share,60,0.1408755924088131,0.1199869115016927,0.135777198474819,0.1157786644819755,0.039047735414353996
114,J251,Preference Share,2017-Q4,FTSE/JSE Preference Share,60,0.1191522943877949,0.1106246949673604,0.112915949500995,0.1071639383058662,0.0372802797737633
203,J251,Preference Share,2018-Q1,FTSE/JSE Preference Share,60,0.11648618191672172,0.0992527124539462,0.0997518846799475,0.0773770554812559,0.036910074943767995
292,J251,Preference Share,2018-Q2,FTSE/JSE Preference Share,60,0.1027907859970538,0.1032544902758939,0.0600087373312792,0.0539980627860998,0.0352901818847253
381,J251,Preference Share,2018-Q3,FTSE/JSE Preference Share,60,0.1785181808305518,0.1728673064515755,0.1139677639238382,0.1035747279721136,0.0442380316721546
470,J251,Preference Share,2018-Q4,FTSE/JSE Preference Share,60,0.1205623117035816,0.1090747807714104,0.0727695949935317,0.0613580767729089,0.0305623190280056
559,J251,Preference Share,2019-Q1,FTSE/JSE Preference Share,60,0.1356804058496838,0.12114182960603248,0.0852955919158042,0.0656046820302505,0.0454034924108612
648,J251,Preference Share,2019-Q2,FTSE/JSE Preference Share,60,0.11822251649945352,0.110053322597715,0.0604789649766552,0.0601941010902365,0.0441124817154785
737,J251,Preference Share,2019-Q3,FTSE/JSE Preference Share,60,0.10816806179333932,0.0981732823321773,0.0615827544962015,0.0636388479389681,0.0308151931576314
825,J251,Preference Share,2019-Q4,FTSE/JSE Preference Share,60,0.0931793585487207,0.0844910122402896,0.0844361516840104,0.0713566844582886,0.0153587926813116
12,J200,Top 40,2017-Q3,Headline Index,60,1.0950956325647156,1.0000000000000002,1.0105891863336978,0.938693460077402,0.3118403430273588
13,J201,Mid Cap,2017-Q3,Headline Index,60,0.6123383985296118,0.429972661505893,0.5927062699575069,0.3943489677323014,0.2312374717794352
14,J202,Small Cap,2017-Q3,Headline Index,60,0.5387988356147652,0.4077942320867893,0.5380665366886647,0.3873557277505005,0.1889309536305707
15,J203,All Share,2017-Q3,Headline Index,60,1.0,0.8891848800334676,0.9273347957931286,0.8324021865413556,0.2947459611457235
16,J204,Fledgling,2017-Q3,Headline Index,60,0.2850657767751087,0.2048929971562676,0.2216135683193929,0.1246920724249772,0.1503515975840149
17,J205,Large Cap,2017-Q3,Headline Index,11,1.075719040640521,0.9933081345154744,1.0228076855891788,0.87596843535184,0.4095280860402445
18,J206,Large and Mid Cap,2017-Q3,Headline Index,11,1.0297087670756018,0.934002063029162,1.0109418679673683,0.8432566763771062,0.3841722963855492
101,J200,Top 40,2017-Q4,Headline Index,60,1.0953811070556447,0.9999999999999996,1.0219494987427953,0.9209518061971907,0.3155794997394724
102,J201,Mid Cap,2017-Q4,Headline Index,60,0.5970697144371524,0.4253607446100323,0.5780919569807259,0.3631344423584004,0.2346877925518313
103,J202,Small Cap,2017-Q4,Headline Index,60,0.5115767111861932,0.3925791895572794,0.5029500036165623,0.3437374846117287,0.1937679396911804
104,J203,All Share,2017-Q4,Headline Index,60,1.0,0.8890490553753838,0.9357305314023192,0.8129809846304005,0.2987106685506002
105,J204,Fledgling,2017-Q4,Headline Index,60,0.2646922780798455,0.1981510319146821,0.1921527456383027,0.1081538791737514,0.1528528932914239
106,J205,Large Cap,2017-Q4,Headline Index,14,1.0805785377244637,0.9954854184817676,1.0430104339908082,0.8177249694987884,0.4378227397215416
107,J206,Large and Mid Cap,2017-Q4,Headline Index,14,1.0288039555570652,0.9287344568656792,1.0200344350143715,0.766228425262018,0.4086673263061891
190,J200,Top 40,2018-Q1,Headline Index,60,1.0895077996559803,1.0000000000000004,1.0145772060208569,0.9082791620472248,0.3186130483550882
191,J201,Mid Cap,2018-Q1,Headline Index,60,0.6328414457322641,0.4534314950790058,0.6001963640967023,0.3676893028483516,0.2446053535647328
192,J202,Small Cap,2018-Q1,Headline Index,60,0.5157500128328408,0.3906364738412252,0.4921324982120371,0.3195676609324002,0.1968211067632436
193,J203,All Share,2018-Q1,Headline Index,60,1.0000000000000002,0.894717993079578,0.9336132142267622,0.8063633928874424,0.3028343253649495
194,J204,Fledgling,2018-Q1,Headline Index,60,0.2663799746751761,0.1940915845535134,0.1841494360746916,0.0901778782150142,0.15683105592975213
195,J205,Large Cap,2018-Q1,Headline Index,17,1.0856212378212269,1.0048170730671682,1.0472456271491577,0.8362017037861034,0.472839278865923
196,J206,Large and Mid Cap,2018-Q1,Headline Index,17,1.0286154086342931,0.9374819517078744,1.0131142223546337,0.7808830023088305,0.44062142082797306
279,J200,Top 40,2018-Q2,Headline Index,60,1.0624393102194274,0.9999999999999996,0.9352176992842444,0.858717979478234,0.2758704805415943
280,J201,Mid Cap,2018-Q2,Headline Index,60,0.7629002832589943,0.5855585075382825,0.6788476795153062,0.450926829378087,0.2543903512147747
281,J202,Small Cap,2018-Q2,Headline Index,60,0.583484894691305,0.4678060002401408,0.5107226340642635,0.3430177572360652,0.19994349758204316
282,J203,All Share,2018-Q2,Headline Index,60,1.0000000000000002,0.914182561924554,0.879949795283182,0.7782344494154761,0.2697358835741152
283,J204,Fledgling,2018-Q2,Headline Index,60,0.2817593033296977,0.2188275241969702,0.1848132572884388,0.0999642174074191,0.1491070207228192
284,J205,Large Cap,2018-Q2,Headline Index,20,1.0725064120090015,1.0021636476445313,0.9921832393277576,0.8287413836750472,0.4747512818427188
285,J206,Large and Mid Cap,2018-Q2,Headline Index,20,1.0286562443735632,0.9445677097227868,0.977908765467021,0.7843751190172035,0.4360593470851574
368,J200,Top 40,2018-Q3,Headline Index,60,1.0624018237750386,1.0000000000000002,0.9296917392625385,0.8326882235100451,0.2693636374750664
369,J201,Mid Cap,2018-Q3,Headline Index,60,0.7986147155319613,0.6289506374344693,0.6824702497782831,0.45918968924575704,0.2683802982965119
370,J202,Small Cap,2018-Q3,Headline Index,60,0.5771558704037365,0.4671001931646638,0.4815136346683217,0.3206876724961411,0.19503014796082693
371,J203,All Share,2018-Q3,Headline Index,60,1.0000000000000004,0.9150205236338808,0.8712569486976948,0.7535152448367607,0.2663809436927446
372,J204,Fledgling,2018-Q3,Headline Index,60,0.2966872321328776,0.2359000394666416,0.1851261676397846,0.1099773076570064,0.1462172569479114
373,J205,Large Cap,2018-Q3,Headline Index,23,1.0720531206182684,0.9954158879701716,0.97357558732412,0.8005493211965181,0.4862645434637213
374,J206,Large and Mid Cap,2018-Q3,Headline Index,23,1.0276399513325611,0.9400242712937972,0.953979199889966,0.7583983110615654,0.4475037702087961
457,J200,Top 40,2018-Q4,Headline Index,60,1.0684967068280753,1.0000000000000004,0.9437535493847304,0.8384177576404591,0.2788677588665886
458,J201,Mid Cap,2018-Q4,Headline Index,60,0.7429226402897027,0.57302430082852,0.6378223625389126,0.4202593289279795,0.2550155152634108
459,J202,Small Cap,2018-Q4,Headline Index,60,0.5610133346750918,0.4449346421304611,0.4814536497394351,0.3237456850360423,0.1853584678437975
460,J203,All Share,2018-Q4,Headline Index,60,1.0000000000000002,0.9118516125718149,0.8793340715045637,0.7563265489723077,0.2731860096046289
461,J204,Fledgling,2018-Q4,Headline Index,60,0.2504809041534659,0.187178805556163,0.1549014486489653,0.088404395446577,0.1283610475436924
462,J205,Large Cap,2018-Q4,Headline Index,26,1.0908191639234213,1.0056086869339174,1.0065702073593068,0.8315805448776237,0.4696373076995608
463,J206,Large and Mid Cap,2018-Q4,Headline Index,26,1.026382018306875,0.9345156979395568,0.9675547202753958,0.7760783260195124,0.4298272220928389
546,J200,Top 40,2019-Q1,Headline Index,60,1.0687256229164188,1.0000000000000002,0.971795839449635,0.8406370792279474,0.2840450377836984
547,J201,Mid Cap,2019-Q1,Headline Index,60,0.7389200253968565,0.5595002358754044,0.6497214195397563,0.3895312282262951,0.2624311071820742
548,J202,Small Cap,2019-Q1,Headline Index,60,0.5332519879879535,0.4090356775728736,0.4902447157650613,0.2828648322428093,0.1698841879032318
549,J203,All Share,2019-Q1,Headline Index,60,1.0000000000000002,0.9116585937538888,0.9032591754413248,0.7546038836438911,0.2791815938068674
550,J204,Fledgling,2019-Q1,Headline Index,60,0.2285182856638217,0.1572653214827096,0.1651656669557013,0.0642421862317769,0.11004131857617748
551,J205,Large Cap,2019-Q1,Headline Index,29,1.09133602980662,1.0092031752271704,1.0172191795933845,0.833145309173052,0.4704525632429021
552,J206,Large and Mid Cap,2019-Q1,Headline Index,29,1.0269594598048597,0.9384258574761336,0.9777480193071642,0.7756019566764507,0.4309567465956006
635,J200,Top 40,2019-Q2,Headline Index,60,1.0714975707936647,0.9999999999999996,0.9791929677882052,0.8482540068381664,0.2964907088573512
636,J201,Mid Cap,2019-Q2,Headline Index,60,0.7183067712226624,0.550814197366444,0.6382783212285855,0.4049562655584276,0.2565140607404391
637,J202,Small Cap,2019-Q2,Headline Index,60,0.5194227709110392,0.4028109596412787,0.479726943232198,0.2951741594126912,0.16545034189606
638,J203,All Share,2019-Q2,Headline Index,60,1.0,0.9113115267892774,0.9095856894876888,0.7639652978507181,0.2886364617930329
639,J204,Fledgling,2019-Q2,Headline Index,60,0.2078230482741411,0.1431294994344961,0.1454813322249301,0.0676688323718639,0.1015495075017933
640,J205,Large Cap,2019-Q2,Headline Index,32,1.0897082057294147,1.0067071181203504,1.0072765672261224,0.8308746073533472,0.4730409858534689
641,J206,Large and Mid Cap,2019-Q2,Headline Index,32,1.0252094576182147,0.9375097324579724,0.9644270268847992,0.7752570346988479,0.4340944560077083
724,J200,Top 40,2019-Q3,Headline Index,60,1.072832722406958,1.0000000000000002,0.9803800939420856,0.8463172271679024,0.2995732449089794
725,J201,Mid Cap,2019-Q3,Headline Index,60,0.713767885968097,0.5476495706755464,0.628169852076552,0.3968207909020535,0.2578497735165113
726,J202,Small Cap,2019-Q3,Headline Index,60,0.5439957773126133,0.4236091229789518,0.4996348637396771,0.3106128224211662,0.1689986420964978
727,J203,All Share,2019-Q3,Headline Index,60,1.0,0.9106657647398404,0.9098462476179192,0.7619642067481761,0.2912253909678289
728,J204,Fledgling,2019-Q3,Headline Index,60,0.2360118893328009,0.1653368322587704,0.1734007475520698,0.0831717092293969,0.1025580358908549
729,J205,Large Cap,2019-Q3,Headline Index,35,1.0919399655642823,1.0070161400080162,1.0145595490391537,0.8293083308591401,0.4764645594513997
730,J206,Large and Mid Cap,2019-Q3,Headline Index,35,1.0247568436102945,0.9358659335130592,0.967850920675662,0.7722814403226785,0.4371314504279691
812,J200,Top 40,2019-Q4,Headline Index,60,1.072893771346234,1.0000000000000002,1.0232546112759335,0.8654923339687702,0.320348737712424
813,J201,Mid Cap,2019-Q4,Headline Index,60,0.7260322399207102,0.5679259825088461,0.6409371508737799,0.39402772914686607,0.3070309633655435
814,J202,Small Cap,2019-Q4,Headline Index,60,0.5297543475939349,0.4184943811662871,0.4967894630002601,0.3002096646680065,0.1966688692177982
815,J203,All Share,2019-Q4,Headline Index,60,1.0,0.9121960013782564,0.9446122654466692,0.7760347556309564,0.3145132280643628
816,J204,Fledgling,2019-Q4,Headline Index,60,0.2235376323815403,0.1587308350529173,0.1951077636965871,0.0940878218957757,0.0993315563779976
817,J205,Large Cap,2019-Q4,Headline Index,38,1.0848082965555523,1.0024034861717863,1.023924132471465,0.8348031190141828,0.4744591747536336
818,J206,Large and Mid Cap,2019-Q4,Headline Index,38,1.0244047298996042,0.9369991312605824,0.9777980742511396,0.7772640425691323,0.4407472524459581
898,J200,Top 40,2020-Q1,Headline Index,60,1.0243964291438985,1.0,1.0139276761831737,0.8998171389228559,0.3661197369350066
899,J201,Mid Cap,2020-Q1,Headline Index,60,0.9677690983686555,0.8107187220644342,0.9070295570784342,0.5617931301064042,0.4410622961305869
900,J202,Small Cap,2020-Q1,Headline Index,60,0.7804008592020569,0.6630079183269613,0.7698239297185391,0.4785527773958259,0.3206133049511122
901,J203,All Share,2020-Q1,Headline Index,60,1.0,0.9537613399110072,0.9803227527586312,0.8261765717228391,0.3725905577562942
902,J204,Fledgling,2020-Q1,Headline Index,60,0.4505106033067058,0.3716129739834123,0.4392088205896473,0.2406938644005577,0.1952469558758546
903,J205,Large Cap,2020-Q1,Headline Index,41,0.9944345403379452,0.9815905510132336,0.9945455258125124,0.8858080981742782,0.5147690139531697
971,J200,Top 40,2020-Q2,Headline Index,60,1.0260761472307431,1.0,1.0514238713415096,0.9425318981716218,0.4088756374747524
972,J201,Mid Cap,2020-Q2,Headline Index,60,0.908056280535882,0.7742595614993102,0.8968105484263978,0.5726346876882197,0.4339230283447658
973,J202,Small Cap,2020-Q2,Headline Index,60,0.809834978743047,0.7032273135010083,0.8365014084101048,0.5568348190895707,0.3517719993059494
974,J203,All Share,2020-Q2,Headline Index,60,1.0000000000000002,0.9567901634747809,1.017806867091275,0.8737408749047297,0.4105165308395027
975,J204,Fledgling,2020-Q2,Headline Index,60,0.3894590847174643,0.3218631029974767,0.4043333926147008,0.2291214350879082,0.17734053675919298
976,J205,Large Cap,2020-Q2,Headline Index,44,1.0097271636397152,0.9930412793313041,1.0528976309260143,0.9543652226838134,0.5510233809282246
42,J300,Capped Top,2017-Q3,Headline Index Variants Index Series,60,1.0749828741504377,0.9712393084677536,0.9887051038832719,0.904478921320132,0.3144260720550885
43,J303,Capped All,2017-Q3,Headline Index Variants Index Series,60,0.9863825634846588,0.8730889473134266,0.9144988942165878,0.8171054651182912,0.292990978115303
82,JN00,Top 40 Net TRI,2017-Q3,Headline Index Variants Index Series,60,1.0950956325647156,1.0000000000000002,1.0105891863336978,0.938693460077402,0.3118403430273588
83,JN23,All Share Net TRI,2017-Q3,Headline Index Variants Index Series,46,1.0,0.9082293268049132,0.8703946156106749,0.7894444573765008,0.2430182298609154
131,J300,Capped Top,2017-Q4,Headline Index Variants Index Series,60,1.0598230935123876,0.9570720936157994,0.9837750519288476,0.8677723930642478,0.3149637836376603
132,J303,Capped All,2017-Q4,Headline Index Variants Index Series,60,0.9761966651377508,0.8636263594742346,0.9119240061180932,0.7849056769190871,0.2949196403667286
171,JN00,Top 40 Net TRI,2017-Q4,Headline Index Variants Index Series,60,1.0953811070556447,0.9999999999999996,1.0219494987427953,0.9209518061971907,0.3155794997394724
172,JN23,All Share Net TRI,2017-Q4,Headline Index Variants Index Series,49,1.0000000000000002,0.9072671334943108,0.8793316482690341,0.7658049863493639,0.2531299864560662
220,J300,Capped Top,2018-Q1,Headline Index Variants Index Series,60,1.0452318349557828,0.9499657427138212,0.9661416177841784,0.8469474100761275,0.3172858887849037
221,J303,Capped All,2018-Q1,Headline Index Variants Index Series,60,0.9694570348814872,0.8636406486083676,0.9018797691040472,0.7717199534091945,0.2983796795769388
260,JN00,Top 40 Net TRI,2018-Q1,Headline Index Variants Index Series,60,1.0895077996559803,1.0000000000000004,1.0145772060208569,0.9082791620472248,0.3186130483550882
261,JN23,All Share Net TRI,2018-Q1,Headline Index Variants Index Series,52,1.0000000000000002,0.9110677202155644,0.883022196625918,0.7654461663940383,0.2607399669169218
309,J300,Capped Top,2018-Q2,Headline Index Variants Index Series,60,1.0174322934958084,0.9437103462774352,0.8919158026651732,0.7939579787275974,0.2737333050395106
310,J303,Capped All,2018-Q2,Headline Index Variants Index Series,60,0.9666956835798188,0.8772207577361008,0.8511498285525779,0.7404401597286121,0.2632300171745811
349,JN00,Top 40 Net TRI,2018-Q2,Headline Index Variants Index Series,60,1.0624393102194274,0.9999999999999996,0.9352176992842444,0.858717979478234,0.2758704805415943
350,JN23,All Share Net TRI,2018-Q2,Headline Index Variants Index Series,55,1.0,0.9127355829850422,0.877021925620185,0.7667586243450707,0.2618558992144503
398,J300,Capped Top,2018-Q3,Headline Index Variants Index Series,60,1.0129473089119874,0.9395849285154576,0.8828605481929076,0.7650738647293259,0.2668933863048579
399,J303,Capped All,2018-Q3,Headline Index Variants Index Series,60,0.9644030230755763,0.87606350852943,0.8404197020597555,0.7139606327592896,0.2597977977783128
438,JN00,Top 40 Net TRI,2018-Q3,Headline Index Variants Index Series,60,1.0624018237750386,1.0000000000000002,0.9296917392625385,0.8326882235100451,0.2693636374750664
439,JN23,All Share Net TRI,2018-Q3,Headline Index Variants Index Series,58,1.0000000000000002,0.9124362574819892,0.8697523535264563,0.7489796700764898,0.2635660627589603
487,J300,Capped Top,2018-Q4,Headline Index Variants Index Series,60,1.012908525574655,0.9343303618722184,0.8860868244407403,0.7630918034348062,0.2771173370425349
488,J303,Capped All,2018-Q4,Headline Index Variants Index Series,60,0.9628813356753642,0.8712175836155676,0.8414229749464369,0.7115551441388849,0.2693246563115457
527,JN00,Top 40 Net TRI,2018-Q4,Headline Index Variants Index Series,60,1.0684967068280753,1.0000000000000004,0.9437535493847304,0.8384177576404591,0.2788677588665886
528,JN23,All Share Net TRI,2018-Q4,Headline Index Variants Index Series,60,1.0000000000000002,0.9118516125718149,0.8793340715045637,0.7563265489723077,0.2731860096046289
576,J300,Capped Top,2019-Q1,Headline Index Variants Index Series,60,1.0061688388623142,0.9271740454972957,0.9065381701656726,0.7560124298151348,0.2798206152344738
577,J303,Capped All,2019-Q1,Headline Index Variants Index Series,60,0.9598561307666528,0.8676623491478344,0.8614858414795888,0.7051430305807147,0.274217485334412
616,JN00,Top 40 Net TRI,2019-Q1,Headline Index Variants Index Series,60,1.0687256229164188,1.0000000000000002,0.971795839449635,0.8406370792279474,0.2840450377836984
617,JN23,All Share Net TRI,2019-Q1,Headline Index Variants Index Series,60,1.0000000000000002,0.9116585937538888,0.9032591754413248,0.7546038836438911,0.2791815938068674
664,J300,Capped Top,2019-Q2,Headline Index Variants Index Series,60,1.0017177935204955,0.9219012611266824,0.903515560219978,0.7569573487137056,0.2914951163105654
665,J303,Capped All,2019-Q2,Headline Index Variants Index Series,60,0.953922125719134,0.8626546500105627,0.8594431598241496,0.7085477468184218,0.2832267194094685
704,JN00,Top 40 Net TRI,2019-Q2,Headline Index Variants Index Series,60,1.0714975707936647,0.9999999999999996,0.9791929677882052,0.8482540068381664,0.2964907088573512
705,JN23,All Share Net TRI,2019-Q2,Headline Index Variants Index Series,60,1.0,0.9113115267892774,0.9095856894876888,0.7639652978507181,0.2886364617930329
753,J300,Capped Top,2019-Q3,Headline Index Variants Index Series,60,1.0082159505174666,0.9268704325006344,0.9082751025842484,0.7550123858051979,0.2965977195190588
754,J303,Capped All,2019-Q3,Headline Index Variants Index Series,60,0.9571434411209341,0.8650811039131476,0.8622667172823819,0.7069517334298965,0.2868631264626597
793,JN00,Top 40 Net TRI,2019-Q3,Headline Index Variants Index Series,60,1.072832722406958,1.0000000000000002,0.9803800939420856,0.8463172271679024,0.2995732449089794
794,JN23,All Share Net TRI,2019-Q3,Headline Index Variants Index Series,60,1.0,0.9106657647398404,0.9098462476179192,0.7619642067481761,0.2912253909678289
841,J300,Capped Top,2019-Q4,Headline Index Variants Index Series,60,1.0126337657522104,0.9311971081845658,0.9464584306431488,0.7703792431778776,0.3213860142633774
842,J303,Capped All,2019-Q4,Headline Index Variants Index Series,60,0.959232642013939,0.8684556711456323,0.8951713453759749,0.7194336499957152,0.3113462065774009
881,JN00,Top 40 Net TRI,2019-Q4,Headline Index Variants Index Series,60,1.072893771346234,1.0000000000000002,1.0232546112759335,0.8654923339687702,0.320348737712424
882,JN23,All Share Net TRI,2019-Q4,Headline Index Variants Index Series,60,1.0,0.9121960013782564,0.9446122654466692,0.7760347556309564,0.3145132280643628
921,J300,Capped Top,2020-Q1,Headline Index Variants Index Series,60,1.0063830357569734,0.9658009555821692,0.9802610998057624,0.8173736341262458,0.3763193721348632
922,J303,Capped All,2020-Q1,Headline Index Variants Index Series,60,0.9869180888540788,0.9319560247761978,0.9586125933301848,0.7786319544966074,0.37562214866652827
958,JN23,All Share Net TRI,2020-Q1,Headline Index Variants Index Series,60,1.0,0.9537613399110072,0.9803227527586312,0.8261765717228391,0.3725905577562942
994,J300,Capped Top,2020-Q2,Headline Index Variants Index Series,60,1.0084630445041507,0.9696577242350776,1.015907030776511,0.8637539404173524,0.4182783797348509
995,J303,Capped All,2020-Q2,Headline Index Variants Index Series,60,0.9856236772235448,0.9356118197200785,0.9930817677752054,0.8258690695985929,0.4128114959481735
1031,JN23,All Share Net TRI,2020-Q2,Headline Index Variants Index Series,60,1.0000000000000002,0.9567901634747809,1.017806867091275,0.8737408749047297,0.4105165308395027
56,J500,Oil & Gas,2017-Q3,ICB Industry Index Series,60,0.8924544920153265,0.8101160429238163,0.8398827841102253,0.7631475211728361,0.38644275771258
57,J510,Basic Materials,2017-Q3,ICB Industry Index Series,60,1.3672156319596531,1.1843374593206302,0.81089133986516,0.7121436480072585,0.9484332188643912
